Reporte Valor Cuota,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
Fecha y Hora de generaci󮺠12/11/2024 12:58:12 p.m.,,,,,,,,,,,,,,,,
Fondo: FONDO OPERATIVO,,,,,,,,,,,,,,,,
Fecha Inicio: 31 de Octubre del 2024,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
Tipo Fondo,Fondo Mutuo,Administradora,Fec. Inicio Operación,Moneda Cuota,Valor Cuota,Variacion desde el Inicio del 2024,Rentabilidad(A) 2023,Rentabilidad(A) 2022,Rentabilidad(A) 2021,Rentabilidad(A) 2020,Rentabilidad(A) 2019,Patrimonio S/.,Patrimonio %,Partícipes N,Partícipes %,Inf. Atrasada
24 - Inst. Deuda Corto Plazo S/,SURA ULTRA CASH SOLES FONDOS SURA SAF,FONDOS SURA SAF,9/5/12,S/.,162.2295473,4.87%,7.32%,4.62%,0.52%,1.56%,3.34%,"1,695,450,597.76",3.69%,"2,689.00",0.55%,31/10/2024
25 - Inst. Deuda Corto Plazo $,BBVA CASH DOLARES CONTINENTAL FM,CONTINENTAL FM,2/12/08,$,121.6068173,4.12%,4.42%,1.22%,0.10%,0.71%,1.88%,"3,066,297,763.93",6.67%,"20,795.00",4.27%,31/10/2024
25 - Inst. Deuda Corto Plazo $,BBVA RENTA CORTO PLAZO $ CONTINENTAL FM,CONTINENTAL FM,16/06/2000,$,178.4597469,4.60%,4.65%,0.36%,0.21%,1.18%,2.38%,"884,648,596.87",1.92%,"3,146.00",0.65%,31/10/2024
25 - Inst. Deuda Corto Plazo $,CRED. CONSER. CORTO PLAZO $ CREDIFONDO SAF,CREDIFONDO SAF,18/02/2014,$,124.857273,4.66%,5.16%,1.45%,0.34%,2.41%,2.97%,"1,585,227,263.42",3.45%,"5,724.00",1.18%,31/10/2024
25 - Inst. Deuda Corto Plazo $,CRED. CONSERVADOR LIQUIDEZ $ CREDIFONDO SAF,CREDIFONDO SAF,6/5/99,$,187.602292,4.24%,4.83%,1.58%,0.28%,0.99%,2.19%,"3,562,317,607.60",7.75%,"15,706.00",3.22%,31/10/2024
25 - Inst. Deuda Corto Plazo $,DIVISO CONSERVADOR DOLARES DIVISO FONDOS SAF S.A.,DIVISO FONDOS SAF S.A.,19/03/2015,$,113.470298,-7.97%,5.36%,0.88%,2.93%,2.62%,3.40%,"1,890,862.84",0.00%,62,0.01%,31/10/2024
25 - Inst. Deuda Corto Plazo $,FARO CORTO PLAZO DOLARES FARO CAPITAL SAFI,FARO CAPITAL SAFI,9/8/22,$,0,,,,,,,"7,669,415.66",0.02%,25,0.01%,31/10/2024
25 - Inst. Deuda Corto Plazo $,FARO CAPITAL SAFI-FARO CORTO PLAZO DOLARES SERIE A,FARO CAPITAL SAFI,9/8/22,$,106.0049675,4.05%,0.89%,0.94%,,,,,,1,0.00%,31/10/2024
25 - Inst. Deuda Corto Plazo $,FARO CAPITAL SAFI-FARO CORTO PLAZO DOLARES SERIE B,FARO CAPITAL SAFI,9/8/22,$,109.8053718,3.96%,4.48%,0.92%,,,,,,24,0.00%,31/10/2024
25 - Inst. Deuda Corto Plazo $,SF LIQUIDEZ $ SCOTIA FONDOS,SCOTIA FONDOS,31/01/2023,$,10.88083671,3.95%,4.22%,,,,,"2,910,674,084.43",6.33%,"11,569.00",2.37%,31/10/2024
25 - Inst. Deuda Corto Plazo $,SURA CORTO PLAZO DOLARES FONDOS SURA SAF,FONDOS SURA SAF,31/08/2009,$,136.8320234,4.20%,4.82%,1.38%,0.65%,1.73%,3.11%,"232,476,023.76",0.51%,821,0.17%,31/10/2024
25 - Inst. Deuda Corto Plazo $,SURA ULTRA CASH DOLARES FONDOS SURA SAF,FONDOS SURA SAF,19/07/2012,$,123.32279,4.18%,4.79%,1.49%,0.41%,1.16%,2.50%,"1,240,348,954.53",2.70%,"2,352.00",0.48%,31/10/2024
29 - Flexible,BLUM BONOS GLOBALES FM BLUM SAF,BLUM SAF,25/03/2024,$,10.5110197,4.97%,,,,,,"78,598,682.24",0.17%,18,0.00%,31/10/2024
29 - Flexible,Blum Capital Global FM BLUM SAF,BLUM SAF,23/09/2022,$,0,,,,,,,"4,740,247.21",0.01%,784,0.16%,31/10/2024
29 - Flexible,BLUM SAF-Blum Capital Global FM SERIE A,BLUM SAF,23/09/2022,$,13.11922916,10.05%,13.45%,4.89%,,,,,,3,0.00%,31/10/2024
29 - Flexible,BLUM SAF-Blum Capital Global FM SERIE B,BLUM SAF,23/09/2022,$,13.07253522,9.87%,13.25%,4.84%,,,,,,781,0.16%,31/10/2024
